Au Phys. Rev. B 6, 4370–4379 (1972) Johnson and Christy		
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2		
LAMBDA     Re(N) Im(N)		
0.3970	1.47	1.95
0.4130	1.46	1.96
0.4300	1.45	1.95
0.4500	1.38	1.92
0.4710	1.31	1.85
0.4960	1.04	1.83
0.5100	0.80	1.97
0.5210	0.62	2.08
0.5350	0.52	2.27
0.5490	0.43	2.46
0.5820	0.29	2.86
0.6170	0.21	3.28
0.6590	0.14	3.69
0.6780	0.14	3.86
0.7040	0.13	4.10
0.7300	0.13	4.32
0.7560	0.14	4.54
0.7800	0.15	4.74
0.8000	0.15	4.91
0.8210	0.16	5.08
0.8430	0.16	5.26
0.8570	0.17	5.38
0.8700	0.17	5.48
0.8920	0.17	5.66
0.9100	0.18	5.80
0.9300	0.19	5.94
0.9550	0.20	6.10
0.9840	0.22	6.34
1.0000	0.23	6.47
1.0300	0.24	6.70
1.0600	0.26	6.94
1.0870	0.27	7.14
1.1200	0.29	7.40
1.1600	0.32	7.71
1.2150	0.35	8.15
1.3930	0.43	9.52
1.4500	0.46	9.96
1.5000	0.49	10.35
1.5500	0.52	10.74
1.6000	0.55	11.13
1.6500	0.60	11.52
